source_name,source_sedol,ticker,company,mapping_source
MESOBLAST LTD,B04SF48,MSB.AX,MESOBLAST LTD,openfigi
DRONESHIELD LTD,BYV1JW4,DRO.AX,DRONESHIELD LTD,openfigi
INGENIA COMMUNIT,B84GSC7,INA.AX,INGENIA COMMUNITIES GROUP,openfigi
ORORA LTD,BH4TCW7,ORA.AX,ORORA LTD,openfigi
CATALYST METALS,B17P5V0,CYL.AX,CATALYST METALS LTD,openfigi
DICKER DATA LTD,B3YPKQ7,DDR.AX,DICKER DATA LTD,openfigi
SUPERLOOP LTD,BYPC6V1,SLC.AX,SUPERLOOP LTD,openfigi
ARB CORP LTD,BWV03W5,ARB.AX,ARB CORP LTD,openfigi
LOVISA HOLDINGS,BT9PVP0,LOV.AX,LOVISA HOLDINGS LTD,openfigi
ORA BANDA MINING,BKDX544,OBM.AX,ORA BANDA MINING LTD,openfigi
WAYPOINT REIT,BLBQ285,WPR.AX,WAYPOINT REIT,openfigi
BEGA CHEESE LTD,B56CQJ5,BGA.AX,BEGA CHEESE LTD,openfigi
EVT LTD,BDG0N49,EVT.AX,EVT LTD,openfigi
MAGELLAN FIN GRP,B015YX4,MFG.AX,MAGELLAN FINANCIAL GROUP LTD,openfigi
NICKEL INDUSTRIE,BZ7NDP2,NIC.AX,NICKEL INDUSTRIES LTD,openfigi
SMARTGROUP CORP,BNB5WS6,SIQ.AX,SMARTGROUP CORP LTD,openfigi
BEACH ENERGY LTD,6088204,BPT.AX,BEACH ENERGY LTD,openfigi
ELSIGHT LTD,BD36ZB1,ELS.AX,ELSIGHT LTD,openfigi
MINERALS 260 LTD,BMT8S71,MI6.AX,MINERALS 260 LTD,openfigi
ALKANE RESOURCES,6014027,ALK.AX,ALKANE RESOURCES LTD,openfigi
PYC THERAPEUTICS,B06NPT6,PYC.AX,PYC THERAPEUTICS LTD,openfigi
ARENA REIT,B99K263,ARF.AX,ARENA REIT,openfigi
FIREFLY METALS L,BPDXXB2,FFM.AX,FIREFLY METALS LTD,openfigi
NICK SCALI LTD,B00VZV8,NCK.AX,NICK SCALI LTD,openfigi
EQ RESOURCES LTD,BN7FK31,EQR.AX,EQ RESOURCES LTD,openfigi
SERVICE STREAM L,B04KLG8,SSM.AX,SERVICE STREAM LTD,openfigi
GUZMAN Y GOMEZ L,BSLTT82,GYG.AX,GUZMAN Y GOMEZ LTD,openfigi
ELECTRO OPTIC SY,6293990,EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,openfigi
AUSTAL LTD,6137162,ASB.AX,AUSTAL LTD,openfigi
DATA#3 LTD,6093015,DTL.AX,DATA#3 LTD,openfigi
CHAMPION IRON LT,BLD1SB3,CIA.AX,CHAMPION IRON LTD,openfigi
DEEP YELLOW LTD,6480275,DYL.AX,DEEP YELLOW LTD,openfigi
HELIA GROUP LTD,BP5HL07,HLI.AX,HELIA GROUP LTD,openfigi
SUNRISE ENERGY M,BN4MX14,SRL.AX,SUNRISE ENERGY METALS LTD,openfigi
DEVELOP GLOBAL L,BNVQGB0,DVP.AX,DEVELOP GLOBAL LTD,openfigi
METALS X LTD,B02HJ56,MLX.AX,METALS X LTD,openfigi
GENERATION DEVEL,BF42CQ6,GDG.AX,GENERATION DEVELOPMENT GROUP,openfigi
IRESS LTD,6297497,IRE.AX,IRESS LTD,openfigi
NUFARM LTD,6335331,NUF.AX,NUFARM LTD,openfigi
GRAINCORP LTD-A,6102331,GNC.AX,GRAINCORP LTD-A,openfigi
MACMAHON HLDGS,6551160,MAH.AX,MACMAHON HOLDINGS LTD,openfigi
PWR HOLDINGS LTD,BZ168Z2,PWH.AX,PWR HOLDINGS LTD,openfigi
ASPEN GROUP,6361057,APZ.AX,ASPEN GROUP,openfigi
VULCAN ENERGY RE,BKYBH63,VUL.AX,VULCAN ENERGY RESOURCES LTD,openfigi
KAROON ENERGY LT,B00SV00,KAR.AX,KAROON ENERGY LTD,openfigi
PREMIER INV LTD,6699781,PMV.AX,PREMIER INVESTMENTS LTD,openfigi
DOMINO'S PIZZA E,B07SFG7,DMP.AX,DOMINO'S PIZZA ENTERPRISES L,openfigi
ELDERS LTD,6357852,ELD.AX,ELDERS LTD,openfigi
ELEVRA LITHIUM L,BVBM1M0,ELV.AX,ELEVRA LITHIUM LTD,openfigi
KINGSGATE CONSOL,6492731,KCN.AX,KINGSGATE CONSOLIDATED LTD,openfigi
REGIS HEALTHCARE,BQV68F9,REG.AX,REGIS HEALTHCARE LTD,openfigi
CREDIT CORP GRP,6287658,CCP.AX,CREDIT CORP GROUP LTD,openfigi
CENTURIA CAPITAL,6518745,CNI.AX,CENTURIA CAPITAL GROUP,openfigi
NINE ENTERTAINME,BGQV183,NEC.AX,NINE ENTERTAINMENT CO HOLDIN,openfigi
RIDLEY CORP,6738929,RIC.AX,RIDLEY CORP LTD,openfigi
MCMILLAN SHAKESP,B00G1Q0,MMS.AX,MCMILLAN SHAKESPEARE LTD,openfigi
AUSSIE BROADBAND,BM8HZC3,ABB.AX,AUSSIE BROADBAND LTD,openfigi
SITEMINDER LTD,BLH35X6,SDR.AX,SITEMINDER LTD,openfigi
IPH LTD,BS7K5S1,IPH.AX,IPH LTD,openfigi
JUDO CAPITAL HOL,BMW7F41,JDO.AX,JUDO CAPITAL HOLDINGS LTD,openfigi
SILEX SYSTEMS,6111735,SLX.AX,SILEX SYSTEMS LTD,openfigi
DIGICO INFRASTRU,BTCHK67,DGT.AX,DIGICO INFRASTRUCTURE REIT,openfigi
WEB TRAVEL GROUP,6015815,WEB.AX,WEB TRAVEL GROUP LTD,openfigi
PEXA GROUP LTD,BMD0WJ3,PXA.AX,PEXA GROUP LTD,openfigi
MAAS GROUP HOLDI,BLD4919,MGH.AX,MAAS GROUP HOLDINGS LTD,openfigi
STANMORE RESOURC,B4KDPZ6,SMR.AX,STANMORE RESOURCES LTD,openfigi
BRAVURA SOLUTION,BZBHBM3,BVS.AX,BRAVURA SOLUTIONS LTD,openfigi
INTEGRAL DIAGNOS,BYV2ZK7,IDX.AX,INTEGRAL DIAGNOSTICS LTD,openfigi
IPERIONX LTD,BMCB2H5,IPX.AX,IPERIONX LTD,openfigi
CATAPULT SPORTS,BTL0Y76,CAT.AX,CATAPULT SPORTS LTD,openfigi
HANSEN TECH,6243252,HSN.AX,HANSEN TECHNOLOGIES LTD,openfigi
REGAL PARTNERS L,BMFX892,RPL.AX,REGAL PARTNERS LTD,openfigi
CHARTER HALL SOC,BHJVMY0,CQE.AX,CHARTER HALL SOCIAL INFRASTR,openfigi
MYSTATE LTD,B41XHK4,MYS.AX,MYSTATE LTD,openfigi
TASMEA LTD,BRSCC77,TEA.AX,TASMEA LTD,openfigi
L1 GROUP LTD,BSPVFM0,L1G.AX,L1 GROUP LTD,openfigi
RURAL FUNDS TRUS,BJVD378,RFF.AX,RURAL FUNDS TRUST,openfigi
DEXUS INDUSTRIA,BP2RQ94,DXI.AX,DEXUS INDUSTRIA REIT,openfigi
INGHAMS GROUP LT,BZCNHW2,ING.AX,INGHAMS GROUP LTD,openfigi
COLLINS FOODS LT,B6QCFP1,CKF.AX,COLLINS FOODS LTD,openfigi
SOUTHERN CROSS E,B296336,SXE.AX,SOUTHERN CROSS ELECTRICAL,openfigi
NANOSONICS LTD,B1WF979,NAN.AX,NANOSONICS LTD,openfigi
KELSIAN GROUP LT,BPBKR80,KLS.AX,KELSIAN GROUP LTD,openfigi
SUPPLY NETWORK L,6580993,SNL.AX,SUPPLY NETWORK LTD,openfigi
OOH!MEDIA LTD,BSXN8D0,OML.AX,OOH!MEDIA LTD,openfigi
WEEBIT NANO LTD,BD82NL0,WBT.AX,WEEBIT NANO LTD,openfigi
BLACK CAT SYNDIC,BFX28Y7,BC8.AX,BLACK CAT SYNDICATE LTD,openfigi
IDP EDUCATION LT,BDB6DD1,IEL.AX,IDP EDUCATION LTD,openfigi
ARAFURA RARE EAR,6711726,ARU.AX,ARAFURA RARE EARTHS LTD,openfigi
RICEGROWERS LIMI,BJKDGL4,SGLLV.AX,RICEGROWERS LIMITED,openfigi
GENUSPLUS GROUP,BMCQZF9,GNP.AX,GENUSPLUS GROUP LTD,openfigi
CLARITY PHARMACE,BMCHJF0,CU6.AX,CLARITY PHARMACEUTICALS LTD,openfigi
GEMLIFE COMMUNIT,BQYL129,GLF.AX,GEMLIFE COMMUNITIES GROUP,openfigi
AMOTIV LTD,BQH8HH4,AOV.AX,AMOTIV LTD,openfigi
CROMWELL PROPERT,6225476,CMW.AX,CROMWELL PROPERTY GROUP,openfigi
PANTORO GOLD LTD,6210289,PNR.AX,PANTORO GOLD LTD,openfigi
WA1 RESOURCES LT,BN10LP1,WA1.AX,WA1 RESOURCES LTD,openfigi
HMC CAPITAL LTD,BJRBL61,HMC.AX,HMC CAPITAL LTD,openfigi
MACQUARIE TECHNO,6175054,MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,openfigi
PEPPER MONEY LTD,BMBPP68,PPM.AX,PEPPER MONEY LTD/AU,openfigi
VULCAN STEEL LTD,BMG3PV2,VSL.AX,VULCAN STEEL LTD,openfigi
CENTURIA OFFICE,BKTW448,COF.AX,CENTURIA OFFICE REIT,openfigi
OMNI BRIDGEWAY L,BM95XH7,OBL.AX,OMNI BRIDGEWAY LTD,openfigi
GROWTHPOINT PROP,B1Y9BC8,GOZ.AX,GROWTHPOINT PROPERTIES AUSTR,openfigi
IPD GROUP LTD,BP9SCC5,IPG.AX,IPD GROUP LTD,openfigi
MA FINANCIAL GRO,BMYZBN4,MAF.AX,MA FINANCIAL GROUP LTD,openfigi
CEDAR WOODS PROP,6182281,CWP.AX,CEDAR WOODS PROPERTIES LTD,openfigi
ALPHA HPA LTD,BH0K666,A4N.AX,ALPHA HPA LTD,openfigi
JUMBO INTERACTIV,6524474,JIN.AX,JUMBO INTERACTIVE LTD,openfigi
AUSTRALIAN CLINI,BMWLLJ0,ACL.AX,AUSTRALIAN CLINICAL LABS LTD,openfigi
GWA GROUP LTD,6392949,GWA.AX,GWA GROUP LTD,openfigi
VIRGIN AUSTRALIA,BT1BC31,VGN.AX,VIRGIN AUSTRALIA HOLDINGS LT,openfigi
BRAZILIAN RARE E,BMVMLB6,BRE.AX,BRAZILIAN RARE EARTHS LTD,openfigi
TEMPLE & WEBSTER,BZ1MWM5,TPW.AX,TEMPLE & WEBSTER GROUP LTD,openfigi
TYRO PAYMENTS LT,BL0KWK0,TYR.AX,TYRO PAYMENTS LTD,openfigi
ST BARBARA LTD,6317072,SBM.AX,ST BARBARA LTD,openfigi
REDOX LTD/AUSTRA,BQ81P89,RDX.AX,REDOX LTD/AUSTRALIA,openfigi
PROPEL FUNERAL P,BYWQNJ3,PFP.AX,PROPEL FUNERAL PARTNERS LTD,openfigi
NAVIGATOR GLOBAL,BFN1D38,NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,openfigi
BANNERMAN ENERGY,B07DXJ1,BMN.AX,BANNERMAN ENERGY LTD,openfigi
STORAGE KING GRO,BVPFTH6,SKG.AX,STORAGE KING GROUP,openfigi
HEALTHCO REIT,BNHNN03,HCW.AX,HEALTHCO REIT,openfigi
AMPLITUDE ENERGY,BLGTZK2,AEL.AX,AMPLITUDE ENERGY LTD,openfigi
QUALITAS LTD,BPK3CM9,QAL.AX,QUALITAS LTD,openfigi
BCI MINERALS LTD,B1J0VB5,BCI.AX,BCI MINERALS LTD,openfigi
MADER GROUP LTD,BHNG8Z4,MAD.AX,MADER GROUP LTD,openfigi
BOSS ENERGY LTD,B1XLCQ6,BOE.AX,BOSS ENERGY LTD,openfigi
CHALICE MINING L,B0ZGW28,CHN.AX,CHALICE MINING LTD,openfigi
LIFESTYLE COMMUN,6137195,LIC.AX,LIFESTYLE COMMUNITIES LTD,openfigi
TUAS LTD,BM94P78,TUA.AX,TUAS LTD,openfigi
EQT HOLDINGS LTD,BD5WNY6,EQT.AX,EQT HOLDINGS LTD,openfigi
POLYNOVO LTD,BSJBZM6,PNV.AX,POLYNOVO LTD,openfigi
LYCOPODIUM LTD,B044438,LYL.AX,LYCOPODIUM LTD,openfigi
SELECT HARVESTS,6260723,SHV.AX,SELECT HARVESTS LTD,openfigi
FLEETPARTNERS GR,BN7HDZ0,FPR.AX,FLEETPARTNERS GROUP LTD,openfigi
CHRYSOS CORP LTD,BPNXX01,C79.AX,CHRYSOS CORP LTD,openfigi
AUST ETHICAL INV,6568212,AEF.AX,AUSTRALIAN ETHICAL INVT LTD,openfigi
TIVAN LTD,BPXW030,TVN.AX,TIVAN LTD,openfigi
OBJECTIVE CORP,6283407,OCL.AX,OBJECTIVE CORPORATION LTD,openfigi
BEACON LIGHT GRO,BKXF175,BLX.AX,BEACON LIGHTING GROUP LTD,openfigi
HEALIUS LTD,BFZYRL1,HLS.AX,HEALIUS LTD,openfigi
CLINUVEL PHARMAC,6328405,CUV.AX,CLINUVEL PHARMACEUTICALS LTD,openfigi
NUIX LTD,BMW7P63,NXL.AX,NUIX LTD,openfigi
EMECO HOLDINGS L,B1978V5,EHL.AX,EMECO HOLDINGS LTD,openfigi
ABACUS GROUP,BQV4PB8,ABG.AX,ABACUS GROUP,openfigi
MYER HOLDINGS,B50YPZ6,MYR.AX,MYER HOLDINGS LTD,openfigi
ACCENT GROUP LTD,BD20RS5,AX1.AX,ACCENT GROUP LTD,openfigi
BAPCOR LTD,BLD2CY7,BAP.AX,BAPCOR LTD,openfigi
GENTRACK GROUP L,BNJZLK3,GTK.AX,GENTRACK GROUP LTD,openfigi
AUSTRALIAN FINAN,BY4K6K5,AFG.AX,AUSTRALIAN FINANCE GROUP LTD,openfigi
FOCUS MINERALS L,6289665,FML.AX,FOCUS MINERALS LTD,openfigi
JUPITER MINES LT,BF4J2C3,JMS.AX,JUPITER MINES LTD,openfigi
ADAIRS LTD,BYYT7Q5,ADH.AX,ADAIRS LTD,openfigi
MGX RESOURCES LT,6963743,MGX.AX,MGX RESOURCES LTD,openfigi
AUSTRALIAN AGRIC,6382285,AAC.AX,AUSTRALIAN AGRICULTURAL CO,openfigi
IONEER LTD,BGYBHZ4,INR.AX,IONEER LTD,openfigi
DATELINE RESOURC,BHCQB45,DTR.AX,DATELINE RESOURCES LTD,openfigi
AUTOSPORTS GRP,BZBHBJ0,ASG.AX,AUTOSPORTS GROUP LTD,openfigi
PREDICTIVE DISCO,BNC3LR1,PDIDB.AX,PREDICTIVE DISCOVERY LTD,openfigi
